                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.97887,                0.79088,                 1.1208,                0.66017,                0.63333,                0.49545,                0.18725,                 2.3094,                 1.8184,                 2.2193,              0.0002774,              0.0002774,              0.0002774
                     89,                0.98053,                0.76805,                 1.1357,                0.67627,                0.62688,                0.49444,                0.19018,                 2.3136,                  1.829,                 2.2247,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0435,                0.80797,                 1.1361,                0.66404,                    0.6,                0.49224,                0.18717,                 2.2885,                 1.8212,                 2.2096,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.039,                0.93387,                 1.1922,                0.58465,                0.56315,                  0.454,                0.19752,                 2.2712,                 1.8445,                 2.1926,               0.000218,               0.000218,               0.000218
                     92,                  1.008,                0.86702,                 1.1512,                 0.6395,                    0.6,                0.52225,                0.21544,                 2.2813,                 1.9238,                 2.1819,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1139,                0.83745,                 1.1739,                0.62418,                 0.6092,                0.52559,                0.22325,                 2.2795,                 1.9453,                 2.1841,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0439,                0.82204,                 1.1867,                0.60111,                0.60287,                0.52341,                0.22279,                 2.3012,                 1.9332,                 2.2005,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0707,                0.83982,                  1.193,                0.60841,                0.56977,                0.50075,                0.21027,                 2.3018,                 1.8875,                 2.1969,              0.0001388,              0.0001388,              0.0001388
                     96,                0.98561,                0.85168,                 1.1836,                0.61184,                    0.6,                0.52357,                0.20645,                 2.3186,                  1.879,                 2.1971,               0.000119,               0.000119,               0.000119
                     97,                 1.0752,                  0.855,                  1.182,                0.62024,                 0.5989,                0.53103,                0.21049,                  2.307,                 1.8433,                 2.1874,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0243,                0.79631,                 1.1557,                 0.6613,                0.58605,                 0.5368,                0.21087,                 2.3067,                 1.8001,                 2.1786,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0242,                0.82572,                  1.156,                0.63984,                    0.6,                0.53394,                0.21302,                 2.3052,                 1.7624,                 2.1738,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0124,                0.78855,                  1.168,                0.62322,                    0.6,                0.53042,                0.21084,                 2.3091,                  1.745,                 2.1719,               3.98e-05,               3.98e-05,               3.98e-05
